country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
China,243,57,317,79,77,29,224,224,273,160,103,145,11,55,5,50,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,7,,,,170,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,126,38,30,98,90,9,9,9,18,28,9,8,8,5,15,5,5,4,1,,,,
Soviet Union,173,206,242,401,175,1051,913,665,581,436,193,53,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,416,263,559,512,283,1080,1137,889,854,595,295,198,137,93,35,155,90,9,9,179,18,28,9,8,8,5,15,5,5,4,1,,,,
