weapon,year,value
Total,1986,803
Total,1987,833
Total,1988,478
Total,1989,192
Total,1990,454
Total,1991,1022
Total,1992,432
Total,1993,987
Total,1994,452
Total,1995,296
Total,1996,615
Total,1997,178
Total,1998,381
Total,1999,323
Total,2000,418
Total,2001,528
Total,2002,435
Total,2003,282
Total,2004,121
Total,2005,57
Total,2006,423
Total,2007,331
Total,2008,62
Total,2009,62
Total,2010,103
Total,2011,103
Total,2012,47
Total,2013,31
Total,2014,13
