recipient,country,year,value
China,Soviet Union,2000,0
China,Soviet Union,2001,0
China,Soviet Union,2002,0
China,Soviet Union,2003,0
China,Soviet Union,2004,0
China,Soviet Union,2005,0
China,Soviet Union,2006,0
China,Soviet Union,2007,0
China,Soviet Union,2008,0
China,Soviet Union,2009,0
China,Soviet Union,2010,0
China,Soviet Union,2011,0
China,Soviet Union,2012,0
China,Soviet Union,2013,0
China,Soviet Union,2014,0
China,Switzerland,1980,0
China,Switzerland,1981,0
China,Switzerland,1982,0
China,Switzerland,1983,0
China,Switzerland,1984,0
China,Switzerland,1985,0
China,Switzerland,1986,0
China,Switzerland,1987,0
China,Switzerland,1988,0
China,Switzerland,1989,0
China,Switzerland,1990,0
China,Switzerland,1991,0
China,Switzerland,1992,0
China,Switzerland,1993,0
China,Switzerland,1994,0
China,Switzerland,1995,0
China,Switzerland,1996,0
China,Switzerland,1997,33
China,Switzerland,1998,33
China,Switzerland,1999,65
China,Switzerland,2000,65
China,Switzerland,2001,65
China,Switzerland,2002,65
China,Switzerland,2003,65
China,Switzerland,2004,65
China,Switzerland,2005,65
China,Switzerland,2006,65
China,Switzerland,2007,65
China,Switzerland,2008,65
China,Switzerland,2009,65
China,Switzerland,2010,65
China,Switzerland,2011,65
China,Switzerland,2012,65
China,Switzerland,2013,65
China,Switzerland,2014,65
China,Ukraine,1980,0
China,Ukraine,1981,0
China,Ukraine,1982,0
China,Ukraine,1983,0
China,Ukraine,1984,0
China,Ukraine,1985,0
China,Ukraine,1986,0
China,Ukraine,1987,0
China,Ukraine,1988,0
China,Ukraine,1989,0
China,Ukraine,1990,0
China,Ukraine,1991,0
China,Ukraine,1992,18
China,Ukraine,1993,18
China,Ukraine,1994,11
China,Ukraine,1995,0
China,Ukraine,1996,65
China,Ukraine,1997,3
China,Ukraine,1998,8
China,Ukraine,1999,18
China,Ukraine,2000,29
China,Ukraine,2001,41
China,Ukraine,2002,58
China,Ukraine,2003,3
China,Ukraine,2004,33
China,Ukraine,2005,82
China,Ukraine,2006,128
China,Ukraine,2007,64
China,Ukraine,2008,54
China,Ukraine,2009,28
China,Ukraine,2010,0
China,Ukraine,2011,0
China,Ukraine,2012,632
China,Ukraine,2013,86
China,Ukraine,2014,132
China,United Kingdom,1980,0
China,United Kingdom,1981,0
China,United Kingdom,1982,0
China,United Kingdom,1983,0
China,United Kingdom,1984,0
China,United Kingdom,1985,0
China,United Kingdom,1986,0
China,United Kingdom,1987,5
China,United Kingdom,1988,0
China,United Kingdom,1989,0
China,United Kingdom,1990,0
China,United Kingdom,1991,0
China,United Kingdom,1992,0
China,United Kingdom,1993,0
China,United Kingdom,1994,0
China,United Kingdom,1995,0
China,United Kingdom,1996,0
China,United Kingdom,1997,0
China,United Kingdom,1998,20
China,United Kingdom,1999,40
China,United Kingdom,2000,60
China,United Kingdom,2001,60
China,United Kingdom,2002,50
China,United Kingdom,2003,50
China,United Kingdom,2004,50
China,United Kingdom,2005,70
China,United Kingdom,2006,40
China,United Kingdom,2007,40
China,United Kingdom,2008,40
China,United Kingdom,2009,40
China,United Kingdom,2010,40
China,United Kingdom,2011,40
China,United Kingdom,2012,40
China,United Kingdom,2013,40
China,United Kingdom,2014,40
China,United States,1980,0
China,United States,1981,0
China,United States,1982,0
China,United States,1983,0
China,United States,1984,59
China,United States,1985,98
China,United States,1986,0
China,United States,1987,0
China,United States,1988,14
China,United States,1989,0
China,United States,1990,0
China,United States,1991,0
China,United States,1992,0
China,United States,1993,0.5
China,United States,1994,35
China,United States,1995,2
China,United States,1996,2
China,United States,1997,0
China,United States,1998,0
China,United States,1999,0
China,United States,2000,0
China,United States,2001,0
China,United States,2002,0
China,United States,2003,0
China,United States,2004,0
China,United States,2005,0
China,United States,2006,0
China,United States,2007,0
China,United States,2008,0
China,United States,2009,0
China,United States,2010,0
China,United States,2011,0
China,United States,2012,0
China,United States,2013,0
China,United States,2014,0
China,Total,1980,7
China,Total,1981,2
China,Total,1982,15
China,Total,1983,27
China,Total,1984,73
China,Total,1985,115
China,Total,1986,17
China,Total,1987,53
China,Total,1988,69
China,Total,1989,110
China,Total,1990,214
China,Total,1991,392
China,Total,1992,1169
China,Total,1993,1187
China,Total,1994,274
China,Total,1995,680
China,Total,1996,1494
China,Total,1997,900
China,Total,1998,383
China,Total,1999,1787
China,Total,2000,2555
China,Total,2001,2836
China,Total,2002,2893
China,Total,2003,2373
China,Total,2004,3320
China,Total,2005,3554
China,Total,2006,2900
China,Total,2007,1678
China,Total,2008,1906
China,Total,2009,1407
China,Total,2010,937
China,Total,2011,1020
China,Total,2012,1651
China,Total,2013,1715
China,Total,2014,1357
Iran,Argentina,1980,0
Iran,Argentina,1981,0
Iran,Argentina,1982,0
Iran,Argentina,1983,0
Iran,Argentina,1984,9
Iran,Argentina,1985,0
Iran,Argentina,1986,0
Iran,Argentina,1987,0
Iran,Argentina,1988,0
Iran,Argentina,1989,0
Iran,Argentina,1990,0
Iran,Argentina,1991,0
Iran,Argentina,1992,0
Iran,Argentina,1993,0
Iran,Argentina,1994,0
Iran,Argentina,1995,0
Iran,Argentina,1996,0
Iran,Argentina,1997,0
Iran,Argentina,1998,0
Iran,Argentina,1999,0
Iran,Argentina,2000,0
Iran,Argentina,2001,0
Iran,Argentina,2002,0
Iran,Argentina,2003,0
Iran,Argentina,2004,0
Iran,Argentina,2005,0
Iran,Argentina,2006,0
Iran,Argentina,2007,0
Iran,Argentina,2008,0
Iran,Argentina,2009,0
Iran,Argentina,2010,0
Iran,Argentina,2011,0
Iran,Argentina,2012,0
Iran,Argentina,2013,0
Iran,Argentina,2014,0
Iran,Austria,1980,0
Iran,Austria,1981,0
Iran,Austria,1982,0
Iran,Austria,1983,0
Iran,Austria,1984,0
Iran,Austria,1985,300
Iran,Austria,1986,0
Iran,Austria,1987,0
Iran,Austria,1988,0
Iran,Austria,1989,0
Iran,Austria,1990,0
Iran,Austria,1991,0
Iran,Austria,1992,0
Iran,Austria,1993,0
Iran,Austria,1994,0
Iran,Austria,1995,0
Iran,Austria,1996,0
Iran,Austria,1997,0
Iran,Austria,1998,0
Iran,Austria,1999,0
Iran,Austria,2000,0
Iran,Austria,2001,0
Iran,Austria,2002,0
Iran,Austria,2003,0
Iran,Austria,2004,0
Iran,Austria,2005,0
Iran,Austria,2006,0
Iran,Austria,2007,0
Iran,Austria,2008,0
Iran,Austria,2009,0
Iran,Austria,2010,0
Iran,Austria,2011,0
Iran,Austria,2012,0
Iran,Austria,2013,0
Iran,Austria,2014,0
Iran,Belarus,1980,0
Iran,Belarus,1981,0
Iran,Belarus,1982,0
Iran,Belarus,1983,0
