weapon,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aircraft,18,17,250,222,31,776,879,510,483,373,228,90,86,,,71,71,,,170,,,,,,,,,,,,,,,
Air defence systems,,,,,,126,34,104,104,,,,,,,6,,,,,,,,,,,,,,,,,,,
Armoured vehicles,135,164,203,150,150,98,114,114,114,114,24,18,6,,,,,,,,9,20,,,,,,,,,,,,,
Artillery,5,40,10,13,10,8,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Missiles,39,37,38,38,38,67,54,72,76,54,34,34,41,39,29,24,14,9,9,9,9,9,9,8,8,5,15,5,5,4,1,,,,
Sensors,,5,8,5,4,5,4,37,27,4,8,6,4,4,6,3,4,,,,,,,,,,,,,,,,,,
Ships,220,,50,84,50,,50,50,50,50,,50,,50,,50,,,,,,,,,,,,,,,,,,,
Total,416,263,559,512,283,1080,1137,889,854,595,295,198,137,93,35,155,90,9,9,179,18,28,9,8,8,5,15,5,5,4,1,,,,
