,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aircraft,,,3,,59,98,,16,36,65,135,298,1004,891,44,49,1194,367,134,360,1287,2440,2306,1884,2183,860,941,683,189,297,365,428,203,891,462
Air defence systems,,,,,,,,,,,,,30,124,77,30,30,85,38,233,295,45,45,139,140,60,60,280,500,280,45,60,55,47,46
Artillery,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Engines,7,2,12,12,12,12,12,12,12,12,12,18,24,24,55,48,42,15,37,64,55,72,79,97,238,180,133,138,193,151,243,279,432,441,481
Missiles,,,,,,,5,9,7,7,32,56,96,107,74,97,142,142,138,255,334,162,322,161,301,540,658,490,836,628,131,131,131,125,123
Naval weapons,,,,,,,,,,11,5,5,5,5,,,5,,,,,,,,30,,20,23,10,,8,8,13,25,33
Sensors,,,,15,3,5,,16,14,,,15,10,36,24,17,27,32,37,116,82,117,141,93,169,114,69,64,178,50,146,114,187,127,154
Ships,,,,,,,,,,15,30,,,,,440,55,260,,760,500,,,,260,1800,1020,,,,,,632,59,59
Total,7,2,15,27,73,115,17,53,69,110,214,392,1169,1187,274,680,1494,900,383,1787,2555,2836,2893,2373,3320,3554,2900,1678,1906,1407,937,1020,1651,1715,1357
