U.S. Custom Ports,Address,bing_type,bing_confidence,bing_latitude,bing_longitude,Coast,Year,Value
"Anchorage, AK","2000 Anchorage Port Road, Anchorage, AK",Address,High,61.23751200735569,-149.88818049430847,AK,2011,430568.5300000001
"Anchorage, AK","2000 Anchorage Port Road, Anchorage, AK",Address,High,61.23751200735569,-149.88818049430847,AK,2012,402275.41000000015
"Anchorage, AK","2000 Anchorage Port Road, Anchorage, AK",Address,High,61.23751200735569,-149.88818049430847,AK,2013,121186.01
"Anchorage, AK","2000 Anchorage Port Road, Anchorage, AK",Address,High,61.23751200735569,-149.88818049430847,AK,2014,11426.32
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,1997,2528658.37
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,1998,2499393.67
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,1999,2557583.26
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2000,2785021.17
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2001,2739425.89
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2002,3063987.18
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2003,3130884.15
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2004,3768489.810000005
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2005,3925987.6500000115
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2006,4185218.180000007
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2007,4383405.550000002
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2008,4474852.059999999
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2009,4240713.470000001
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2010,4644224.109999999
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2011,4801045.879999999
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2012,5233558.269999999
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2013,5479761.08
"Baltimore, MD","401 East Pratt Street, Baltimore, MD",Address,High,39.28620147705078,-76.60968017578125,A,2014,5574240.1
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,1997,64.64
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,1998,512.96
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,1999,14.05
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2000,7.79
